property1,property2,property3,property4,property6,property7,index,url
"La Chapelle-aux-Chasses, Église Ste-Anne",Église Ste-Anne,,,,,54,http://mappinggothic.org/building/56
"La Chapelle, Église Saint-Cosme-Saint-Damien",,,,,,55,http://mappinggothic.org/building/57
"Charmeil, Église S-Pierre",,,,,,56,http://mappinggothic.org/building/58
"Charmes, Église S-Martin",Église S-Martin,,,,,57,http://mappinggothic.org/building/59
"Charroux, Église S-Sébastien",,,,46.18494033,3.1617769,58,http://mappinggothic.org/building/60
"Chassenard, Église S-Georges",,,,,,59,http://mappinggothic.org/building/61
"Château-sur-Allier, Église S-Maurice",,,,46.76669312,3.028267622,60,http://mappinggothic.org/building/62
"Châtel-de-Neuvre, Église S-Laurent",,,,46.40306714,3.311796904,61,http://mappinggothic.org/building/63
"Châtel-Montagne, Église Notre-Dame",,,,46.11480519,3.682673812,62,http://mappinggothic.org/building/64
"Châtelperron, Église S-Pierre",,,,46.40029907,3.636517525,63,http://mappinggothic.org/building/65
"Châtelus, Église S-Quiricus",Église S-Quiricus,,,,,64,http://mappinggothic.org/building/66
"Chavenon, Église S-Martin",,,,46.41420544,2.94631207,65,http://mappinggothic.org/building/67
"Chavroches, Église Saint-Cyr-Sainte-Juliette",Église Saint-Cyr-Sainte-Juliette,,,,,66,http://mappinggothic.org/building/68
"Chazemais, Église S-Denis",Église S-Denis,,,46.48296356,2.526673079,67,http://mappinggothic.org/building/69
"Chemilly, Église S-Denis",,,,46.48897919,3.316213608,68,http://mappinggothic.org/building/70
"Chevagnes, Église Saint-Sizte-Saint-Nizier",Église Saint-Sizte-Saint-Nizier,,,46.60929871,3.545789957,69,http://mappinggothic.org/building/71
"Chezelle, Église S-Jean",,,,,,70,http://mappinggothic.org/building/72
"Chirat-l’Église, Église Saint-Pierre-Saint-Étienne",,,,,,71,http://mappinggothic.org/building/73
"Chouvigny, Église S-Pierre",,,,,,72,http://mappinggothic.org/building/74
"Cindré, Église Saint-Pierre-Saint-Martin",,,,,,73,http://mappinggothic.org/building/75
"Colombier, Église S-Patrocle",,,,46.27375633,2.794375181,74,http://mappinggothic.org/building/76
"Cognat-Lyonne, Église Ste-Radegonde",,,,46.10543656,3.298304796,75,http://mappinggothic.org/building/77
"Commentry, Église Sacré-Coeur",,,,,,76,http://mappinggothic.org/building/78
"Commentry, Église S-Front",,,,,,77,http://mappinggothic.org/building/79
"Contigny, Église S-Martial",,,,46.35309982,3.304100037,78,http://mappinggothic.org/building/80
"Cosne-d’Allier, Église S-Martin",,,,46.47578812,2.834300995,79,http://mappinggothic.org/building/81
"Coulandon, Église S-Martin",,,,46.55040401,3.25625968,80,http://mappinggothic.org/building/82
"Coulanges, Église S-Réverien",Église S-Réverien,,,,,81,http://mappinggothic.org/building/83
"Couleuvre, Église S-Julien",,,,46.67200389,2.907031298,82,http://mappinggothic.org/building/84
"Courçais, Église S-Martin",Église S-Martin,,,,,83,http://mappinggothic.org/building/85
"Coutansouze, Église Saint-Gervais-Saint-Protais",,,,,,84,http://mappinggothic.org/building/86
"Couzon, Église S-Georges",,,,,,85,http://mappinggothic.org/building/87
"Créchy, Église S-Germain",,,,46.26141739,3.421361446,86,http://mappinggothic.org/building/88
"Cressanges, Église S-Julien",Église S-Julien,,,46.44643402,3.160629272,87,http://mappinggothic.org/building/89
"Creuzier-le-Neuf, Église S-Front",,,,,,88,http://mappinggothic.org/building/90
"Creuzier-le-Vieux, Église S-Martin",,,,46.15409851,3.430299997,89,http://mappinggothic.org/building/91
"Cusset, Église S-Saturnin",,,,,,90,http://mappinggothic.org/building/92
"Deneuille-lés-Chantelle, Église S-Martin",,,,46.37864685,2.781493664,91,http://mappinggothic.org/building/94
"Deneuille-les-Mines, Église S-Martial",Église S-Martial,,,,,92,http://mappinggothic.org/building/95
"Désertines, Eglise S-George",Eglise S-George,,,46.35394669,2.620711327,93,http://mappinggothic.org/building/96
"Deux-Chaises, Église S-Denis",Église S-Denis,,,46.38009581,3.039730549,94,http://mappinggothic.org/building/97
"Diou, Église Saint-Cyr-Sainte-Juliette",,,,,,95,http://mappinggothic.org/building/98
"Diou, Abbaye de Sept-Fons",,,,,,96,http://mappinggothic.org/building/99
"Domerat, Église Notre-Dame",,,,46.36028705,2.535357594,97,http://mappinggothic.org/building/100
"Dompierre-sur-Besbre, Église Saint-Pierre-Saint-Paul",,,,,,98,http://mappinggothic.org/building/101
"Le Donjon, Église S-Maurice",,,,,,99,http://mappinggothic.org/building/102
"Le Donjon, Église S-Hilaire",,,,,,100,http://mappinggothic.org/building/103
"Le Donjon, Église des Cordeliers",,,,,,101,http://mappinggothic.org/building/104
"Le Donjon, Église S-Martin-de-Melleray",,,,,,102,http://mappinggothic.org/building/105
"Doyet, Église S-Pierre",,,,,,103,http://mappinggothic.org/building/106
"Droiturier, Église S-Nicolas",,,,46.23016755,3.719014525,104,http://mappinggothic.org/building/107
"Durdat-Larequille, Église S-Martial-de-Durdat",,,,46.25106812,2.703795433,105,http://mappinggothic.org/building/108
"Durdat-Larequille, Église Notre-Dame-de-Larequille",,,,,,106,http://mappinggothic.org/building/109
"Ébreuil, Église S-Léger",,,,46.11477097,3.088198304,107,http://mappinggothic.org/building/110
"Ébreuil, Église Notre-Dame",,,,,,108,http://mappinggothic.org/building/111
"Escurolles, Église Saint-Cyr-Sainte-Juliette",Église Saint-Cyr-Sainte-Juliette,,,46.14283598,3.264411449,109,http://mappinggothic.org/building/112
"Échassiéres, Église S-Marcel",Église S-Marcel,,,,,110,http://mappinggothic.org/building/113
"Espinasse-Vozelle, Église S-Clément",,,,3.26379776,3.350615501,111,http://mappinggothic.org/building/114
"Estivareilles, Église S-Sébastien",Église S-Sébastien,,,,,112,http://mappinggothic.org/building/115
"Étroussat, Église S-Georges",,,,,,113,http://mappinggothic.org/building/116
"Ferriéres-sur-Sichon, Église S-Barthélemy",,,,,,114,http://mappinggothic.org/building/117
"Fleuriel, Église Notre-Dame",,,,46.28208608,3.177875042,115,http://mappinggothic.org/building/118
"La Ferté-Hauterive, Église S-Pierre",,,,,,116,http://mappinggothic.org/building/119
"Fourilles, Église S-Saturnin",Église S-Saturnin,,,,,117,http://mappinggothic.org/building/120
"Franchesse, Église S-Étienne",,,,46.63691659,3.037529945,118,http://mappinggothic.org/building/121
"Gannat, Église Ste-Croix",,,,46.10029984,3.198673725,119,http://mappinggothic.org/building/122
"Gannat, Église S-Étienne",,,,46.10026655,3.198729515,120,http://mappinggothic.org/building/123
"Gannay-sur-Loire, Église S-Jean-Baptiste",,,,,,121,http://mappinggothic.org/building/124
"Garnat-sur-Engiévre, Église S-Germain",,,,,,122,http://mappinggothic.org/building/125
"Gennetines, Église S-Marcel",Église S-Marcel,,,,,123,http://mappinggothic.org/building/126
"Gipcy, Église S-Pierre",,,,46.5027087,3.055935621,124,http://mappinggothic.org/building/127
"Givarlais, Église S-Genés",Église S-Genés,,,46.45851135,2.651165009,125,http://mappinggothic.org/building/128
"Gouise, Église S-Pierre",,,,,,126,http://mappinggothic.org/building/129
"La Guillermie, Église S-Joseph",,,,,,127,http://mappinggothic.org/building/130
"Hauterive, Église S-Louis",,,,,,128,http://mappinggothic.org/building/131
"Hérisson, Église Notre-Dame",,,,,,129,http://mappinggothic.org/building/132
"Hérisson, Église S-Pierre-de-Chateloy",,,,46.5080986,2.71130991,130,http://mappinggothic.org/building/133
"Huriel, Église Notre-Dame",,,,46.37555133,2.475409389,131,http://mappinggothic.org/building/134
"Hyds, Église S-Martin",Église S-Martin,,,46.28418947,2.830144763,132,http://mappinggothic.org/building/135
"Isle-et-Bardais, Église S-Pierre-d’Isle",Église S-Pierre-d’Isle,,,45.80440521,1.226338148,133,http://mappinggothic.org/building/136
"Isle-et-Bardais, Église S-Laurent-de-Bardais",Église S-Laurent-de-Bardais,,,46.68866348,2.792050838,134,http://mappinggothic.org/building/137
"Isserpent, Église S-Bonnet",,,,46.16360855,46.16360855,135,http://mappinggothic.org/building/138
"Jaligny-sur-Besbre, Église S-Hippolyte",,,,46.37904899,3.592595816,136,http://mappinggothic.org/building/139
"Jenzat, Église S-Martin",,,,46.16350174,3.192169905,137,http://mappinggothic.org/building/140
"Lafeline, Église S-Martin",,,,46.34926722,3.16790688,138,http://mappinggothic.org/building/141
"Lalizolle, Église Notre-Dame",,,,,,139,http://mappinggothic.org/building/142
"Lamaids, Église S-Jean-Baptiste",Église S-Jean-Baptiste,,,46.30289588,2.43175292,140,http://mappinggothic.org/building/143
"Langy, Église S-Sulpice",,,,46.26732656,3.470573545,141,http://mappinggothic.org/building/144
"Lapalisse, Église S-Jean-Baptiste",,,,46.24961332,3.639431834,142,http://mappinggothic.org/building/145
"Laprugne, Église S-Jean-Baptiste",,,,,,143,http://mappinggothic.org/building/146
"Lavault-Sainte-Anne, Église Ste-Anne",,,,46.30974197,2.600063801,144,http://mappinggothic.org/building/147
"Lavoine, Église S-Jean",,,,,,145,http://mappinggothic.org/building/148
"Lenax, Église S-Martin",,,,,,146,http://mappinggothic.org/building/149
"Liernolles, Église Ste-Catherine",Église Ste-Catherine,,,,,147,http://mappinggothic.org/building/150
"Lignerolles, Église S-Martin",Église S-Martin,,,,,148,http://mappinggothic.org/building/151
"Limoise, Église S-Jacques",,,,,,149,http://mappinggothic.org/building/152
"Loddes, Église S-Pierre",Église S-Pierre,,,46.2882843,3.766014576,150,http://mappinggothic.org/building/153
"Loriges, Église S-Austremoine",Église S-Austremoine,,,,,151,http://mappinggothic.org/building/154
"Louchy-Montfand, Église S-Pourçain-de-Louchy",,,,46.35424535,3.741722441,152,http://mappinggothic.org/building/155
"Louroux-de-Beaune, Église S-Sulpice",,,,46.29299927,2.854640007,153,http://mappinggothic.org/building/156
"Louroux-de-Bouble, Église S-Eutrope",,,,,,154,http://mappinggothic.org/building/157
"Louroux-Bourbonnais, Église S-Martin",Église S-Martin,,,,,155,http://mappinggothic.org/building/158
"Louroux-Hodement, Église S-Jean-Baptiste",,,,46.46146774,2.714202404,156,http://mappinggothic.org/building/159
"Luneau, Église S-Pierre",,,,,,157,http://mappinggothic.org/building/160
"Lurcy-Lévis, Église S-Martin",Église S-Martin,,,46.73028076,2.938241601,158,http://mappinggothic.org/building/161
"Lusigny, Église S-Jean-Baptiste",,,,,,159,http://mappinggothic.org/building/162
"Magnet, Église S-Saturnin",,,,46.22042084,3.500545502,160,http://mappinggothic.org/building/163
"Maillet, Église S-Denis",,,,46.47880173,2.651760101,161,http://mappinggothic.org/building/164
"Malicorne, Église S-Prejet",,,,46.30182201,2.782184601,162,http://mappinggothic.org/building/165
"Marcenat, Église Notre-Dame",,,,,,163,http://mappinggothic.org/building/166
"Marcillat-en-Combraille, Église Notre-Dame",,,,,,164,http://mappinggothic.org/building/167
"Marigny, Église S-Pourçain",,,,46.58179855,3.208909988,165,http://mappinggothic.org/building/168
"Mariol, Église Saint-Cyr-Sainte-Juliette",,,,,,166,http://mappinggothic.org/building/169
"Le Mayet-d’École, Église S-Barthélemy",,,,,,167,http://mappinggothic.org/building/170
"Le Mayet-de-Montagne, Église S-Jean",,,,,,168,http://mappinggothic.org/building/171
"Mazerier, Église S-Saturnin",,,,46.12491519,3.189191461,169,http://mappinggothic.org/building/172
"Mazirat, Église S-Martin",,,,,,170,http://mappinggothic.org/building/173
"Meaulne, Église S-Symphorien",,,,46.59796143,2.616956234,171,http://mappinggothic.org/building/174
"Meillard, Église S-Martin",,,,46.39007187,3.237147331,172,http://mappinggothic.org/building/175
"Meillers, Église S-Julien",Église S-Julien,,,46.50669861,3.092479944,173,http://mappinggothic.org/building/176
"Mercy, Église S-Pierre",,,,,,174,http://mappinggothic.org/building/177
"Mesples, Église S-Pardoux",Église S-Pardoux,,,,,175,http://mappinggothic.org/building/178
"Molinet, Église S-Pierre-aux-Liens",,,,46.46556091,3.935294151,176,http://mappinggothic.org/building/179
"Molles, Église S-Jean-Baptiste",Église S-Jean-Baptiste,,,46.10754776,3.558218479,177,http://mappinggothic.org/building/180
"Monestier, Église S-Pourçain",,,,,,178,http://mappinggothic.org/building/181
"Monétay-sur-Allier, Église S-Martin",,,,,,179,http://mappinggothic.org/building/182
"Monétay-sur-Loire, Église S-Sulpice",,,,,,180,http://mappinggothic.org/building/183
"Montaigu-le-Blin, Église Notre-Dame",,,,46.31800842,2.959785461,181,http://mappinggothic.org/building/184
"Montaigüet-en-Forez, Église Ste-Anne",,,,,,182,http://mappinggothic.org/building/185
"Montbeugny, Église Saint-Roch-Saint-Sébastien",,,,46.29589844,3.510129929,183,http://mappinggothic.org/building/186
"Montcombroux-les-Mines, Église S-Jean-Baptiste",Église S-Jean-Baptiste,,,46.27106857,3.802320957,184,http://mappinggothic.org/building/187
"Monteignet-sur-l’Andelot, Église S-Martin",,,,,,185,http://mappinggothic.org/building/188
"Le Montet, Église Saint-Gervais-Saint-Protais",,,,46.40940318,3.057599306,186,http://mappinggothic.org/building/189
"Montilly, Église S-Pierre",,,,46.61145813,3.251804233,187,http://mappinggothic.org/building/190
"Montluçon, Église S-Pierre",,,,46.34120178,2.60303998,188,http://mappinggothic.org/building/191
"Montluçon, Église Notre-Dame",,,,46.34000015,2.604000092,189,http://mappinggothic.org/building/192
"Montluçon, Église S-Nicholas",,,,,,190,http://mappinggothic.org/building/193
"Montluçon, Église S-Paul",,,,,,191,http://mappinggothic.org/building/194
"Montmarault, Église S-Étienne",,,,,,192,http://mappinggothic.org/building/195
"Montoldre, Église S-Éloi",,,,,,193,http://mappinggothic.org/building/196
"Montord, Église S-Martin",,,,46.2931633,3.229765892,194,http://mappinggothic.org/building/197
"Montvicq, Église S-Prejet",,,,,,195,http://mappinggothic.org/building/198
"Moulins, Cathédrale Notre-Dame",Cathédrale Notre-Dame,,,46.56686332,3.332008839,196,http://mappinggothic.org/building/199
"Moulins, Église S-Pierre",Église S-Pierre,,,,,197,http://mappinggothic.org/building/200
"Moulins, Église Sacré-Coeur",Église Sacré-Coeur,,,46.56359863,3.327850103,198,http://mappinggothic.org/building/201
"Moulins, Chapelle de la Visitation",Chapelle de la Visitation,,,,,199,http://mappinggothic.org/building/202
"Moulins, Hopital S-Joseph",Hopital S-Joseph,,,,,200,http://mappinggothic.org/building/203
"Murat, Église S-Nicholas",,,,46.40100098,2.908214569,201,http://mappinggothic.org/building/204
"Nades, Église S-Jacques",Église S-Jacques,,,46.15890121,2.970390081,202,http://mappinggothic.org/building/205
"Nassigny, Église S-Martin",,,,,,203,http://mappinggothic.org/building/206
"Naves, Église S-Pourçain",Église S-Pourçain,,,46.17687225,3.111362457,204,http://mappinggothic.org/building/207
"Néris-les-Bains, Église S-Georges",Église S-Georges,,,46.28699875,2.661999941,205,http://mappinggothic.org/building/208
"Neuilly-en-Donjon, Église Ste-Marie-Madeleine",,,,46.34461594,3.88774395,206,http://mappinggothic.org/building/209
"Neuilly-le-Réal, Église S-Julien",,,,,,207,http://mappinggothic.org/building/210
"Neure, Église S-Germain",,,,46.74609375,2.980921268,208,http://mappinggothic.org/building/211
"Neuvy, Église S-Hilaire",,,,46.56230164,3.29031992,209,http://mappinggothic.org/building/212
"Nizerolles, Église Saint-Blaise-Saint-Barthélemy",Église Saint-Blaise-Saint-Barthélemy,,,,,210,http://mappinggothic.org/building/213
"Noyant-d’Allier, Église S-Martin",,,,,,211,http://mappinggothic.org/building/214
"Paray-le-Frésil, Église S-Didier",,,,,,212,http://mappinggothic.org/building/215
"Paray-sous-Briailles, Église S-Maurice",Église S-Maurice,,,,,213,http://mappinggothic.org/building/216
"Périgny, Église S-Pierre",,,,46.50761032,3.813993931,214,http://mappinggothic.org/building/217
"La Petite-Marche, Église S-Thomas",,,,,,215,http://mappinggothic.org/building/218
"Pierrefitte-sur-Loire, Église S-Rémi",,,,,,216,http://mappinggothic.org/building/219
"Le Pin, Église S-Pierre",,,,,,217,http://mappinggothic.org/building/220
Église S-Julien,,,,46.07709885,3.223010063,218,http://mappinggothic.org/building/221
"Pouzy-Mésangy, Église S-Aignan-de-Pouzy",,,,46.70890045,3.004570007,219,http://mappinggothic.org/building/222
"Prémilhat, Église S-Pierre",,,,,,220,http://mappinggothic.org/building/223
"Quinssaines, Église S-Marcel",Église S-Marcel,,,46.32662964,2.513358593,221,http://mappinggothic.org/building/224
"Reugny, Église S-Martin",,,,46.46483612,2.610245228,222,http://mappinggothic.org/building/225
"Rocles, Église S-Saturnin",Église S-Saturnin,,,46.42300034,3.030999899,223,http://mappinggothic.org/building/226
"Rongéres, Église Ste-Marie-Madeleine",Église Ste-Marie-Madeleine,,,46.29499817,3.448090076,224,http://mappinggothic.org/building/227
"Ronnet, Église S-Christophe",,,,46.20460129,2.698990107,225,http://mappinggothic.org/building/228
"Saint-Angel, Église S-Michel",,,,,,226,http://mappinggothic.org/building/229
"Saint-Aubin-le-Monial, Église S-Barnabé",,,,46.52718735,3.001155853,227,http://mappinggothic.org/building/230
"Saint-Bonnet-de-Four, Église S-Bonnet",,,,46.31269836,2.910279989,228,http://mappinggothic.org/building/231
"Saint-Bonnet-de-Rochefort, Église S-Bonnet",,,,,,229,http://mappinggothic.org/building/232
"Saint-Bonnet-Tronçais, Église S-Bonnet",Église S-Bonnet,,,,,230,http://mappinggothic.org/building/233
"Saint-Caprais, Église S-Caprais",Église S-Caprais,,,,,231,http://mappinggothic.org/building/234
"Saint-Christophe, Église S-Christophe",,,,,,232,http://mappinggothic.org/building/235
"Saint-Clément, Église S-Clément",,,,,,233,http://mappinggothic.org/building/236
"Saint-Désiré, Église S-Désiré",,,,46.4966011,2.430170059,234,http://mappinggothic.org/building/237
"Saint-Didier-en-Donjon, Église S-Léger",,,,,,235,http://mappinggothic.org/building/238
"Saint-Éloy-d’Allier, Église S-Éloi",,,,,,236,http://mappinggothic.org/building/239
"Saint-Ennemond, Église S-Ennemond",,,,46.67638397,3.423185349,237,http://mappinggothic.org/building/240
"Saint-Fargeol, Église S-Ferréol",,,,,,238,http://mappinggothic.org/building/241
"Saint-Félix, Église S-Félix",,,,,,239,http://mappinggothic.org/building/242
"Saint-Genest, Église S-Genès",,,,,,240,http://mappinggothic.org/building/243
"Saint-Genest, Église",,,,,,241,http://mappinggothic.org/building/244
"Saint-Gérand-de-Vaux, Église Saint-Gérand-Saint-Julien",,,,,,242,http://mappinggothic.org/building/245
"Saint-Gérand-le-Puy, Église S-Julien",,,,,,243,http://mappinggothic.org/building/246
"Saint-Germain-de-Salles, Église S-Germain",Église S-Germain,,,,,244,http://mappinggothic.org/building/247
"Saint-Germain-des-Fossés, Église Notre-Dame",Église Notre-Dame,,,,,245,http://mappinggothic.org/building/248
"Saint-Germain-des-Fossés, Église de l’Immaculée-Conception",Église de l’Immaculée-Conception,,,,,246,http://mappinggothic.org/building/249
"Saint-Germain-des-Fossés, Chapelle Castrale",Chapelle Castrale,,,,,247,http://mappinggothic.org/building/250
"Saint-Hilaire, Église S-Loup",,,,46.49357225,3.021653295,248,http://mappinggothic.org/building/251
"Saint-Léger-sur-Vouzance, Église S-Léger",,,,,,249,http://mappinggothic.org/building/252
"Saint-Léon, Église Saint-Cosme-Saint-Damien",,,,,,250,http://mappinggothic.org/building/253
"Saint-Léon, Église de L’Ancien Prieuré du Puy-Saint-Ambroise",,,,,,251,http://mappinggothic.org/building/254
"Saint-Léon, Église de Montperroux",,,,,,252,http://mappinggothic.org/building/255
"Saint-Léopardin-d’Augy, Église S-Léopardin",,,,,,253,http://mappinggothic.org/building/256
"Saint-Léopardin-d’Augy, Monastère S-Léopardin",,,,,,254,http://mappinggothic.org/building/257
"Saint-Loup, Église S-Loup",,,,,,255,http://mappinggothic.org/building/258
"Saint-Marcel-en-Marcillat, Église S-Marcel",,,,,,256,http://mappinggothic.org/building/259
"Saint-Marcel-en-Murat, Église S-Marcel",,,,,,257,http://mappinggothic.org/building/260
"Saint-Martin-des-Lais, Église S-Martin",Église S-Martin,,,,,258,http://mappinggothic.org/building/261
"Saint-Martinien, Église S-Martinien",,,,,,259,http://mappinggothic.org/building/262
"Saint-Menoux, Église S-Menoux",,,,46.58499908,3.157000065,260,http://mappinggothic.org/building/263
"Saint-Nicolas-des-Biefs, Église S-Nicolas",Église S-Nicolas,,,,,261,http://mappinggothic.org/building/264
"Saint-Palais, Église S-Palais",Église S-Palais,,,,,262,http://mappinggothic.org/building/265
"Saint-Pierre-Laval, Église S-Pierre",,,,,,263,http://mappinggothic.org/building/266
"Saint-Plaisir, Église S-Plaisir",,,,46.62200165,2.967999935,264,http://mappinggothic.org/building/267
"Saint-Pont, Église Saint-Mayeul-Saint-Pont",,,,,,265,http://mappinggothic.org/building/268
"Saint-Pourçain-sur-Besbre, Église S-Pourçain",,,,46.47505389,3.637836933,266,http://mappinggothic.org/building/269
"Saint-Pourçain-sur-Sioule, Église S-Pourçain, Ancienne Église Prieurale",,,,,,267,http://mappinggothic.org/building/270
"Saint-Priest-d’Andelot, Église S-Prejet",,,,,,268,http://mappinggothic.org/building/271
"Saint-Priest-en-Murat, Église S-Priest",,,,,,269,http://mappinggothic.org/building/272
"Saint-Prix, Église S-Priest",,,,,,270,http://mappinggothic.org/building/273
"Saint-Rémy-en-Rollat, Église S-Rémy",,,,,,271,http://mappinggothic.org/building/274
"Saint-Sauvier, Église S-Salvère",,,,,,272,http://mappinggothic.org/building/275
"Saint-Sornin, Église S-Saturnin",,,,46.4109993,3.015000105,273,http://mappinggothic.org/building/276
"Saint-Victor, Église S-Victor",,,,46.39500046,2.605999947,274,http://mappinggothic.org/building/277
"Saint-Voir, Église Saint-Voir-Saint-Sever",,,,,,275,http://mappinggothic.org/building/278
"Saint-Yorre, Église S-Éloi",,,,,,276,http://mappinggothic.org/building/279
"Sainte-Thérence, Église Ste-Thérence",,,,,,277,http://mappinggothic.org/building/280
"Saint-Étienne-de-Vicq, Église S-Étienne",,,,,,278,http://mappinggothic.org/building/281
"Saligny-sur-Roudon, Église S-Martin",,,,,,279,http://mappinggothic.org/building/282
"Sanssat, Église Saint-Cyr-Sainte-Juliette",,,,,,280,http://mappinggothic.org/building/283
"Saulcet, Église S-Julien",,,,,,281,http://mappinggothic.org/building/284
"Saulzet, Église S-Julien",,,,46.19300079,3.154000044,282,http://mappinggothic.org/building/285
"Sauvagny, Église S-Germain-d’Auxerre",,,,,,283,http://mappinggothic.org/building/286
"Sazeret, Église S-Laurent",,,,,,284,http://mappinggothic.org/building/287
"Serbannes, Église S-Jean",Église S-Jean,,,,,285,http://mappinggothic.org/building/288
"Servilly, Église S-Georges",,,,,,286,http://mappinggothic.org/building/289
